depth_m,arrival_f0.1_s,arrival_f0.5_s,arrival_f0.9_s,arrival_volumetric_s,arrival_in_gauge_s,front_envelope_s,front_rise_velocity_m_per_min
222.856,561.75,681.276,1091.35,738.113,685.67,681.276,44.4439
223.702,560.641,681.917,1092.02,735.843,683.732,681.276,42.9549
224.55,558.752,679.478,1087.83,733.637,681.794,679.478,41.4658
225.397,556.688,676.795,1083.39,731.257,679.856,676.795,18.1139
226.243,554.531,673.841,1078.38,728.878,677.918,673.841,19.6508
227.091,552.344,671.488,1074.82,726.113,675.98,671.488,44.2757
227.938,550.847,670.537,1073.19,723.864,674.042,670.537,45.2744
228.784,549.18,668.917,1070.32,721.669,672.104,668.917,31.4294
229.632,547.635,667.303,1067.51,719.635,670.166,667.303,29.1371
230.478,546.018,665.371,1064.23,717.628,668.228,665.371,26.4908
231.325,544.418,663.466,1060.96,715.649,666.29,663.466,28.3902
232.173,542.897,661.768,1058.05,713.703,664.352,661.768,29.6789
233.019,541.407,660.041,1055.04,711.832,662.414,660.041,28.7523
233.866,539.9,658.229,1051.94,709.975,660.476,658.229,29.0596
234.714,538.442,656.535,1049.02,708.153,658.538,656.535,28.9098
235.56,536.965,654.702,1045.88,706.371,656.6,654.702,27.0118
236.407,535.439,652.767,1042.6,704.564,654.662,652.767,26.5202
237.255,533.906,650.868,1039.39,702.728,652.724,650.868,25.9386
238.101,532.34,648.84,1035.96,700.918,650.786,648.84,23.5959
238.949,530.598,646.522,1032.14,698.97,648.848,646.522,22.4205
239.796,528.818,644.303,1028.5,696.896,646.91,644.303,31.2124
240.642,527.289,642.908,1026.08,694.861,644.972,642.908,30.2477
241.49,525.38,639.9,1021.01,693.033,643.034,639.9,15.4272
242.337,522.504,636.164,1015.45,689.852,641.096,636.164,86.4596
243.183,521.015,635.638,1014.12,687.497,639.158,635.638,80.1623
244.031,519.382,634.283,1011.64,685.253,637.22,634.283,42.1384
244.877,517.943,633.177,1009.45,683.222,635.282,633.177,39.0361
245.724,516.393,631.333,1006.28,681.329,633.344,631.333,25.9618
246.572,514.715,629.227,1002.79,679.343,631.406,629.227,26.1168
247.418,513.12,627.401,999.701,677.367,629.468,627.401,28.8545
248.265,511.584,625.696,996.768,675.445,627.53,625.696,28.8256
249.113,510.029,623.867,993.655,673.562,625.592,623.867,26.6082
249.959,508.419,621.86,990.326,671.666,623.654,621.86,25.3476
250.806,506.777,619.857,987.026,669.715,621.716,619.857,22.155
251.654,504.849,616.951,982.426,667.786,619.778,616.951,16.8196
252.5,502.317,613.793,977.662,664.869,617.84,613.793,65.8749
